2018-10-02T14:03:30,743 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,744 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,744 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,744 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,745 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,745 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,750 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,750 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,751 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,751 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,751 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,752 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,754 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,754 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,755 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,755 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,756 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,756 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,758 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,758 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,759 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,759 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,759 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,760 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,763 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,763 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,763 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,764 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,764 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,764 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,766 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,767 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,767 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,767 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,768 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,768 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,770 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,770 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,771 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,771 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,772 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,772 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,783 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,783 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,783 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,783 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,783 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,788 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,811 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,811 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,812 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
