2018-10-15T12:44:17,045 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T12:44:17,068 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T12:44:34,386 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T12:44:34,398 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T12:46:58,401 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T12:46:58,429 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T12:49:45,007 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T12:49:45,028 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T12:50:04,825 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T12:50:04,876 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T12:50:41,556 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T12:50:41,606 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T12:55:28,680 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T12:55:28,695 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T12:56:35,079 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T12:56:35,088 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T12:58:51,230 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T12:58:51,270 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:00:16,813 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:00:16,818 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:01:10,124 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:01:10,143 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:02:27,787 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:02:27,797 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:02:53,149 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:02:53,167 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:03:16,388 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:03:16,420 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:06:07,351 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:06:12,740 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:07:09,550 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:07:09,563 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:09:38,606 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:09:38,632 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:10:23,488 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:10:23,531 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:11:14,624 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:11:14,652 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:12:09,374 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:12:09,389 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:15:22,735 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:15:22,752 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:18:01,939 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:18:01,962 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:20:38,702 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:20:38,718 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:23:44,966 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:23:44,973 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:27:27,322 | DEBUG |  | main | Started the metrics manager fiber
2018-10-15T13:27:27,391 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-15T13:27:48,513 | DEBUG |  | main | Started the metrics manager fiber
