DateTimeISO8601,OpType,Concurrency,NodeCount,ConcurrencyCurr,ConcurrencyMean,CountSucc,CountFail,Size,StepDuration[s],DurationSum[s],TPAvg[op/s],TPLast[op/s],BWAvg[MB/s],BWLast[MB/s],DurationAvg[us],DurationMin[us],DurationLoQ[us],DurationMed[us],DurationHiQ[us],DurationMax[us],LatencyAvg[us],LatencyMin[us],LatencyLoQ[us],LatencyMed[us],LatencyHiQ[us],LatencyMax[us]
"2018-10-15T12:44:17,055",CREATE,0,1,0.0,0.0,0,0,0,1.539607457052E9,0.0,0.0,0.0,0.0,0.0,0.0,9223372036854775807,0,0,0,-9223372036854775808,0.0,9223372036854775807,0,0,0,-9223372036854775808
"2018-10-15T12:44:34,392",CREATE,0,1,0.0,0.0,0,0,0,1.539607474389E9,0.0,0.0,0.0,0.0,0.0,0.0,9223372036854775807,0,0,0,-9223372036854775808,0.0,9223372036854775807,0,0,0,-9223372036854775808
"2018-10-15T12:46:58,429",CREATE,0,1,0.0,0.0,0,0,0,1.539607618415E9,0.0,0.0,0.0,0.0,0.0,0.0,9223372036854775807,0,0,0,-9223372036854775808,0.0,9223372036854775807,0,0,0,-9223372036854775808
"2018-10-15T12:47:03,414",CREATE,0,1,0.0,0.0,0,0,0,1.539607623415E9,0.0,0.0,0.0,0.0,0.0,0.0,9223372036854775807,0,0,0,-9223372036854775808,0.0,9223372036854775807,0,0,0,-9223372036854775808
"2018-10-15T12:47:08,414",CREATE,0,1,0.0,0.0,0,0,0,1.539607628414E9,0.0,0.0,0.0,0.0,0.0,0.0,9223372036854775807,0,0,0,-9223372036854775808,0.0,9223372036854775807,0,0,0,-9223372036854775808
"2018-10-15T12:47:13,414",CREATE,0,1,0.0,0.0,0,0,0,1.539607633415E9,0.0,0.0,0.0,0.0,0.0,0.0,9223372036854775807,0,0,0,-9223372036854775808,0.0,9223372036854775807,0,0,0,-9223372036854775808
"2018-10-15T12:47:18,415",CREATE,0,1,0.0,0.0,0,0,0,1.539607638415E9,0.0,0.0,0.0,0.0,0.0,0.0,9223372036854775807,0,0,0,-9223372036854775808,0.0,9223372036854775807,0,0,0,-9223372036854775808
"2018-10-15T12:47:23,414",CREATE,0,1,0.0,0.0,0,0,0,1.539607643415E9,0.0,0.0,0.0,0.0,0.0,0.0,9223372036854775807,0,0,0,-9223372036854775808,0.0,9223372036854775807,0,0,0,-9223372036854775808
"2018-10-15T12:47:28,414",CREATE,0,1,0.0,0.0,0,0,0,1.539607648415E9,0.0,0.0,0.0,0.0,0.0,0.0,9223372036854775807,0,0,0,-9223372036854775808,0.0,9223372036854775807,0,0,0,-9223372036854775808
"2018-10-15T12:47:33,414",CREATE,0,1,0.0,0.0,0,0,0,1.539607653415E9,0.0,0.0,0.0,0.0,0.0,0.0,9223372036854775807,0,0,0,-9223372036854775808,0.0,9223372036854775807,0,0,0,-9223372036854775808
