2018-10-03T12:48:40,692 | INFO |  | main | linear_20181003.124840.657: creating the storage driver instance for the type "s3"
2018-10-03T12:48:40,702 | INFO |  | main | storage/driver/1/amzs3/710220387: use 4 I/O workers
2018-10-03T12:48:40,703 | DEBUG |  | main | Using the file "list2.csv" as items input
2018-10-03T12:48:40,703 | INFO |  | main | linear_20181003.124840.657: scatter the items from the input "DataItemsFromFile(list2.csv)"...
2018-10-03T12:48:40,703 | INFO |  | main | linear_20181003.124840.657: slice the item input "DataItemsFromFile(list2.csv)"...
2018-10-03T12:48:40,703 | INFO |  | main | Items input "DataItemsFromFile(list2.csv)": starting to distribute the items among the 1 load step slices
2018-10-03T12:48:40,729 | INFO |  | main | Items input "DataItemsFromFile(list2.csv)": 200 items was distributed among the 1 load step slices
2018-10-03T12:48:40,729 | DEBUG |  | main | linear_20181003.124840.657: item input file slicer initialized
2018-10-03T12:48:40,729 | DEBUG |  | main | storage/driver/1/amzs3/710220387: closed
2018-10-03T12:48:40,730 | DEBUG |  | main | linear_20181003.124840.657: item output file aggregator initialized
2018-10-03T12:48:40,736 | INFO |  | main | linear_20181003.124840.657: creating the storage driver instance for the type "s3"
2018-10-03T12:48:40,740 | INFO |  | main | storage/driver/1/amzs3/1481751887: use 4 I/O workers
2018-10-03T12:48:40,741 | DEBUG |  | main | Using the file "/tmp/mongoose/344644185474084" as items input
2018-10-03T12:48:40,779 | DEBUG |  | main | Started the metrics manager fiber
2018-10-03T12:48:40,779 | DEBUG |  | main | Metrics context "MetricsContextImpl(UPDATE-1x1@linear_20181003.124840.657)" registered
2018-10-03T12:48:40,779 | INFO |  | main | linear_20181003.124840.657: load step client started, additional nodes: []
2018-10-03T12:48:40,780 | DEBUG |  | main | linear_20181003.124840.657: await for 1 step slices for at most 9223372036854775807 seconds...
2018-10-03T12:48:40,784 | DEBUG |  | ioWorker#2 | linear_20181003.124840.657: new unpooled connection -979256794, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:48:40,784 | DEBUG |  | fibers-executor-#4 | linear_20181003.124840.657: execute the HTTP request using the channel -979256794 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:48:40,798 | DEBUG |  | ioWorker#3 | linear_20181003.124840.657: new unpooled connection 113368335, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:48:40,800 | DEBUG |  | fibers-executor-#4 | linear_20181003.124840.657: execute the HTTP request using the channel 113368335 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:48:40,823 | DEBUG |  | fibers-executor-#1 | End of items input "binFileInput<344644185474084>"
2018-10-03T12:49:02,234 | DEBUG |  | fibers-executor-#1 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,234 | INFO |  | fibers-executor-#1 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,242 | DEBUG |  | fibers-executor-#2 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,242 | INFO |  | fibers-executor-#2 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,247 | DEBUG |  | fibers-executor-#1 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,247 | INFO |  | fibers-executor-#1 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,266 | DEBUG |  | fibers-executor-#3 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,269 | DEBUG |  | fibers-executor-#4 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,270 | INFO |  | fibers-executor-#4 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,271 | INFO |  | fibers-executor-#3 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,273 | DEBUG |  | fibers-executor-#3 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,278 | DEBUG |  | fibers-executor-#1 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,278 | INFO |  | fibers-executor-#1 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,278 | INFO |  | fibers-executor-#3 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,280 | DEBUG |  | fibers-executor-#1 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,280 | INFO |  | fibers-executor-#1 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,280 | DEBUG |  | fibers-executor-#4 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,280 | INFO |  | fibers-executor-#4 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,283 | DEBUG |  | fibers-executor-#2 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,283 | INFO |  | fibers-executor-#2 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,310 | DEBUG |  | fibers-executor-#2 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,310 | INFO |  | fibers-executor-#2 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,320 | DEBUG |  | fibers-executor-#2 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,320 | INFO |  | fibers-executor-#2 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,325 | DEBUG |  | fibers-executor-#3 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,325 | INFO |  | fibers-executor-#3 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,365 | DEBUG |  | fibers-executor-#3 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,366 | INFO |  | fibers-executor-#3 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,384 | DEBUG |  | fibers-executor-#4 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,384 | INFO |  | fibers-executor-#4 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,399 | DEBUG |  | fibers-executor-#1 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,399 | INFO |  | fibers-executor-#1 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,415 | DEBUG |  | fibers-executor-#4 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,416 | INFO |  | fibers-executor-#4 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,417 | DEBUG |  | fibers-executor-#1 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,417 | INFO |  | fibers-executor-#1 | linear_20181003.124840.657: done due to max count (20000) done state
2018-10-03T12:49:02,421 | DEBUG |  | fibers-executor-#1 | linear_20181003.124840.657: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:49:02,421 | INFO |  | fibers-executor-#1 | linear_20181003.124840.657: done due to max count (20000) done state
