2018-10-03T13:05:34,502 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/config/defaults.json already exists, checking the checksum
2018-10-03T13:05:34,504 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/config/defaults.json" has the same checksum (98d37457) as source, skipping
2018-10-03T13:05:34,504 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/example/content/textexample already exists, checking the checksum
2018-10-03T13:05:34,505 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/example/content/textexample" has the same checksum (a3acaeba) as source, skipping
2018-10-03T13:05:34,505 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/example/content/zerobytes already exists, checking the checksum
2018-10-03T13:05:34,510 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/example/content/zerobytes" has the same checksum (f00001) as source, skipping
2018-10-03T13:05:34,510 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/example/scenario/groovy/types/additional/copy_load_using_env_vars.groovy already exists, checking the checksum
2018-10-03T13:05:34,510 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/example/scenario/groovy/types/additional/copy_load_using_env_vars.groovy" has the same checksum (3c7d9458) as source, skipping
2018-10-03T13:05:34,510 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/example/scenario/groovy/types/additional/load_type.groovy already exists, checking the checksum
2018-10-03T13:05:34,510 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/example/scenario/groovy/types/additional/load_type.groovy" has the same checksum (b3c12b5f) as source, skipping
2018-10-03T13:05:34,510 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/example/scenario/groovy/types/additional/update_and_read_variants.groovy already exists, checking the checksum
2018-10-03T13:05:34,511 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/example/scenario/groovy/types/additional/update_and_read_variants.groovy" has the same checksum (9c5168e3) as source, skipping
