DateTimeISO8601,TypeLoad,Concurrency,DriverCount,CountSucc,CountFail,Size,JobDuration[s],DurationSum[s],TPAvg[op/s],TPLast[op/s],BWAvg[MB/s],BWLast[MB/s],DurationAvg[us],DurationMin[us],DurationLoQ[us],DurationMed[us],DurationHiQ[us],DurationMax[us],LatencyAvg[us],LatencyMin[us],LatencyLoQ[us],LatencyMed[us],LatencyHiQ[us],LatencyMax[us]
"2017-01-27T13:23:22,889",CREATE,1,1,0,0,0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
"2017-01-27T13:23:33,046",CREATE,1,1,8565,0,8981053440,10.17,8.655767,842.1828908554572,660.9252742220413,8.830927669616519E8,6.929634923230982E8,1543.1177042801557,328,393,442,564,738795,1543.1177042801557,14,81,102,154,195836
"2017-01-27T13:23:43,045",CREATE,1,1,28322,0,29697769472,20.17,17.06872,1404.1646008924145,1508.3986049632852,1.4723733005453644E9,1.5816459688707273E9,439.7256809338521,321,344,361,409,18145,439.7256809338521,14,70,81,96,11241
"2017-01-27T13:23:53,447",CREATE,1,1,48378,0,50729058304,29.015,25.091249,1667.344476994658,1792.421360304473,1.7483735414096158E9,1.8793811827940056E9,416.78210116731515,321,339,354,382,18145,416.78210116731515,15,67,77,90,11241
"2017-01-27T13:24:03,447",CREATE,1,1,73509,0,77079773184,40.573,35.619173,1811.7713750523747,2192.424133329891,1.8997799813669188E9,2.2989238585833015E9,398.4795719844358,317,336,350,369,18145,398.4795719844358,15,66,77,87,4958
"2017-01-27T13:24:13,447",CREATE,1,1,98556,0,103343456256,50.573,44.553805,1948.7869021019121,2385.3090854884276,2.0434511746584146E9,2.501178054804573E9,393.82003891050584,317,335,348,365,18145,393.82003891050584,11,66,77,86,4958
"2017-01-27T13:24:23,448",CREATE,1,1,123487,0,129485504512,60.573,53.487152,2038.6475822561208,2448.729439341126,2.1376769272117941E9,2.567678992389072E9,391.8044747081712,317,334,347,364,18145,391.8044747081712,11,66,76,85,4958
"2017-01-27T13:24:33,449",CREATE,1,1,148359,0,155565686784,70.575,62.397589,2102.1466524973434,2472.075085448963,2.2042605282890544E9,2.5921586312143993E9,387.7315175097276,317,333,346,363,18145,387.7315175097276,11,66,76,85,4958
"2017-01-27T13:24:43,448",CREATE,1,1,173193,0,181606023168,80.574,71.307351,2149.4899098964925,2488.7498945525413,2.2539035317596245E9,2.609643419147739E9,384.4124513618677,317,334,346,363,18145,384.4124513618677,11,66,76,84,4958
"2017-01-27T13:24:53,448",CREATE,1,1,198236,0,207865511936,90.574,80.278478,2188.663413341577,2491.3550013313297,2.2949799273080573E9,2.6123750654508367E9,383.3784046692607,317,334,346,363,18145,383.3784046692607,11,66,76,84,4958
"2017-01-27T13:25:03,449",CREATE,1,1,223057,0,233892216832,100.575,89.255353,2217.817549092717,2484.4062211093137,2.325550254357445E9,2.6050887390210285E9,381.9338521400778,317,333,345,361,18145,381.9338521400778,11,66,76,83,12105
"2017-01-27T13:25:13,449",CREATE,1,1,248104,0,260155899904,110.575,98.127673,2243.762152385259,2497.033212235496,2.3527551426995254E9,2.6183290980368495E9,376.397859922179,317,333,345,360,18145,376.397859922179,11,66,76,84,4958
"2017-01-27T13:25:23,450",CREATE,1,1,272089,0,285305995264,120.576,106.978754,2256.576764861996,2432.6000712668924,2.366192237791932E9,2.550766052506734E9,373.4212062256809,317,333,345,360,18145,373.4212062256809,11,66,76,83,4958
"2017-01-27T13:25:33,451",CREATE,1,1,295813,0,310182412288,130.577,115.869651,2265.4295932668083,2400.8244863113314,2.375475101189337E9,2.517446936623866E9,373.70428015564204,317,333,345,360,18145,373.70428015564204,11,66,76,84,4958
"2017-01-27T13:25:43,452",CREATE,1,1,320636,0,336211214336,140.578,124.825717,2280.840529812631,2449.1262370594236,2.391634639388809E9,2.56809499317491E9,373.82003891050584,317,333,345,360,18145,373.82003891050584,11,66,76,83,625
"2017-01-27T13:25:53,453",CREATE,1,1,345104,0,361867771904,150.579,133.771139,2291.8468046673174,2435.523165501713,2.403175555050837E9,2.553831138797985E9,373.5301556420234,317,332,345,360,18145,373.5301556420234,11,66,76,84,625
"2017-01-27T13:26:03,453",CREATE,1,1,368943,0,386864775168,160.579,142.777441,2297.5793846019715,2385.908463174722,2.409186600788397E9,2.501806352685158E9,373.68677042801556,317,333,344,360,18145,373.68677042801556,11,66,76,84,625
"2017-01-27T13:26:13,455",CREATE,1,1,391031,0,410025721856,170.58,151.630205,2292.361355375777,2259.829968510443,2.4037151005745106E9,2.369603469062006E9,375.46692607003894,317,333,345,361,18145,375.46692607003894,11,66,76,84,682
"2017-01-27T13:26:23,463",CREATE,1,1,414876,0,435029016576,180.532,160.450104,2298.07457957592,2344.740999438494,2.4097058503533998E9,2.458639138227659E9,375.2003891050584,317,333,345,361,18145,375.2003891050584,11,66,76,84,682
"2017-01-27T13:26:33,463",CREATE,1,1,438266,0,459555209216,190.589,169.365581,2299.5346006327754,2336.3735553283004,2.411236793393113E9,2.4498652371520905E9,374.68677042801556,317,333,345,361,18145,374.68677042801556,11,66,76,84,2006
"2017-01-27T13:26:43,464",CREATE,1,1,462438,0,484901388288,200.59,178.300498,2305.3891021486616,2383.046799312101,2.417375683174635E9,2.4988056806355457E9,374.4747081712062,317,333,345,361,18145,374.4747081712062,11,66,76,84,2006
"2017-01-27T13:26:53,465",CREATE,1,1,486999,0,510655463424,210.591,187.217374,2312.5347237061414,2427.546916282225,2.424868410444891E9,2.5454674352875724E9,375.1342412451362,317,333,345,361,18145,375.1342412451362,11,66,76,84,2006
"2017-01-27T13:27:03,465",CREATE,1,1,510070,0,534847160320,220.592,196.139285,2312.2778704576776,2360.0819747060555,2.42459908029303E9,2.4747253167093844E9,376.1420233463035,317,333,345,362,18145,376.1420233463035,11,66,76,84,2006
