2017-01-27T13:29:09,962 | DEBUG | RequestHandlerBase | ioworker@port#9020-#4 | Handler was interrupted: io.netty.channel.unix.Errors$NativeIoException: syscall:read(...)() failed: Connection reset by peer
2017-01-27T13:29:41,907 | DEBUG | RequestHandlerBase | ioworker@port#9020-#4 | Handler was interrupted: io.netty.channel.unix.Errors$NativeIoException: syscall:read(...)() failed: Connection reset by peer
2017-01-27T13:30:21,234 | DEBUG | RequestHandlerBase | ioworker@port#9020-#4 | Handler was interrupted: io.netty.channel.unix.Errors$NativeIoException: syscall:read(...)() failed: Connection reset by peer
2017-01-27T13:36:55,561 | DEBUG | RequestHandlerBase | ioworker@port#9020-#4 | Handler was interrupted: io.netty.channel.unix.Errors$NativeIoException: syscall:read(...)() failed: Connection reset by peer
2017-01-27T13:39:43,096 | DEBUG | RequestHandlerBase | ioworker@port#9020-#1 | Handler was interrupted: io.netty.channel.unix.Errors$NativeIoException: syscall:read(...)() failed: Connection reset by peer
2017-01-27T13:40:34,742 | DEBUG | RequestHandlerBase | ioworker@port#9020-#2 | Handler was interrupted: io.netty.channel.unix.Errors$NativeIoException: syscall:read(...)() failed: Connection reset by peer
2017-01-27T13:54:04,544 | DEBUG | RequestHandlerBase | ioworker@port#9020-#3 | Handler was interrupted: io.netty.channel.unix.Errors$NativeIoException: syscall:read(...)() failed: Connection reset by peer
2017-01-27T13:55:24,791 | DEBUG | RequestHandlerBase | ioworker@port#9020-#4 | Handler was interrupted: io.netty.channel.unix.Errors$NativeIoException: syscall:read(...)() failed: Connection reset by peer
2017-01-27T13:55:41,296 | ERROR | RequestHandlerBase | ioworker@port#9020-#1 | Failed to perform a range update/append for "0nelwx57datc2": java.lang.IllegalStateException: Range 19 is already updated, but mask is: {19}
2017-01-27T13:55:41,347 | ERROR | RequestHandlerBase | ioworker@port#9020-#1 | Failed to perform a range update/append for "02mvc5hswxe8q": java.lang.IllegalStateException: Range 2 is already updated, but mask is: {2}
2017-01-27T13:55:41,353 | ERROR | RequestHandlerBase | ioworker@port#9020-#1 | Failed to perform a range update/append for "1vji66lwljpl8": java.lang.IllegalStateException: Range 18 is already updated, but mask is: {18}
