2017-01-27T13:34:21,053 | DEBUG | ParentJobBase | main | Load the subtree to the job "jsonScenario#2129144075"
2017-01-27T13:34:21,056 | INFO | JsonScenario | main | Scenario start
2017-01-27T13:34:21,056 | INFO | SequentialJob | main | jsonScenario#2129144075: execute 1 child jobs sequentially
2017-01-27T13:34:21,056 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" start
2017-01-27T13:34:21,056 | INFO | LoadJob | main | Run the load job "2017.01.27.13.34.20.350"
2017-01-27T13:34:21,082 | INFO | BasicStorageDriverBuilder | main | Work via HTTP using "S3" cloud storage API
2017-01-27T13:34:21,359 | INFO | LoadJob | main | Load drivers initialized
2017-01-27T13:34:21,360 | INFO | LoadJob | main | Work on the mutable data items
2017-01-27T13:34:21,374 | INFO | LoadJob | main | Load generators initialized
2017-01-27T13:34:21,410 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.34.20.350: await for the done condition at most for 9223372036854775[s]
2017-01-27T13:34:24,563 | DEBUG | BasicLoadGenerator | NoopNewDataItems(1MB) | com.emc.mongoose.load.generator.BasicLoadGenerator$GeneratorTask@2648c6e4: finish due to output's EOF
2017-01-27T13:34:24,563 | DEBUG | StorageDriverBase | shutdownWorker#2 | storage/driver/1/s3/1117519786: shut down
2017-01-27T13:34:24,563 | DEBUG | BasicLoadGenerator | NoopNewDataItems(1MB) | Produced 1003520 items
2017-01-27T13:34:24,564 | DEBUG | BasicLoadMonitor | shutdownWorker#2 | 2017.01.27.13.34.20.350: storage driver "storage/driver/1/s3/1117519786" shut down
2017-01-27T13:34:24,564 | DEBUG | BasicLoadMonitor | logCtxShutDownHook | 2017.01.27.13.34.20.350: load monitor was shut down properly
2017-01-27T13:34:24,564 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.34.20.350: await exit due to "interrupted" state
2017-01-27T13:34:24,564 | INFO | LoadJob | main | Load job "2017.01.27.13.34.20.350" done
2017-01-27T13:34:24,566 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.34.20.350: the load generator "NoopNewDataItems(1MB)" has been closed
2017-01-27T13:34:24,575 | DEBUG | StorageDriverBase | interruptWorker#1 | storage/driver/1/s3/1117519786: interrupting while not in the idle state
2017-01-27T13:34:24,576 | DEBUG | StorageDriverBase | interruptWorker#1 | storage/driver/1/s3/1117519786: interrupted
2017-01-27T13:34:24,582 | DEBUG | StorageDriverBase | ioResultsGetAndApplyWorker#1 | storage/driver/1/s3/1117519786: closed
2017-01-27T13:34:24,582 | DEBUG | BasicLoadMonitor | ioResultsGetAndApplyWorker#1 | 2017.01.27.13.34.20.350: the storage driver "storage/driver/1/s3/1117519786" has been closed
2017-01-27T13:34:24,582 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.34.20.350: final I/O result have been got and processed properly
2017-01-27T13:34:24,586 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.34.20.350: closed the load monitor
2017-01-27T13:34:24,586 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" is done
2017-01-27T13:34:24,586 | INFO | SequentialJob | main | jsonScenario#2129144075: finished the sequential execution of jsonScenario#2129144075 child jobs
2017-01-27T13:34:24,587 | INFO | JsonScenario | main | Scenario end
2017-01-27T13:34:24,587 | DEBUG | NetStorageDriverBase | interruptWorker#1 | storage/driver/1/s3/1117519786: I/O workers stopped in time
2017-01-27T13:34:24,587 | DEBUG | BasicLoadMonitor | logCtxShutDownHook | 2017.01.27.13.34.20.350: storage drivers have been interrupted properly
2017-01-27T13:34:24,587 | DEBUG | BasicLoadMonitor | logCtxShutDownHook | 2017.01.27.13.34.20.350: interrupted the load monitor
